ID,CVE_SUN,NOM_SUN,SegregationIndex,EconomicComplexity,GDP_PerCapita,GDP_Change,PopDensity,PopulationChange,UrbanizedSurfaceChange,TransitModeShare,ESA_BuiltUp_Ratio,Roads,NumberMunicipalitiesinMetroArea
1,M01.01,Aguascalientes,0.51642869,0.751515152,-3.249294569,2.971384128,0.014448061,0.734469045,1.008333349,0.274122807,0.830783163,8.282001836,1.098612289
2,M02.01,Ensenada,0.361400082,0.603030303,-3.16598847,4.719274733,0.011076828,0.534788925,0.471634394,0.412280702,0.997574532,8.224121828,0
3,M02.02,Mexicali,0.362077485,0.715151515,-3.257047714,2.815147641,0.015381605,0.556192878,0.758885799,0.168859649,1.370119367,8.672333067,0
4,M02.03,Tijuana,0.303793433,0.842424242,-3.339483349,2.724455642,0.022261913,0.993585679,0.733502966,0.418859649,1.003301348,9.028353405,1.098612289
5,M03.01,La Paz,0.278896914,0.554545455,-2.985089588,3.414754928,0.009505188,0.596360792,0.956904375,0.335526316,1.025739754,7.837485778,0
6,M04.01,Campeche,0.242877697,0.496969697,-3.45999071,2.96518361,0.013002551,0.526828652,0.624537409,0.668859649,0.720525877,7.194924286,0
7,M05.01,La Laguna,0.500379568,0.751515152,-3.280041427,2.748665857,0.012841964,0.43402102,0.901493485,0.434210526,1.003005218,8.795351547,1.609437912
8,M05.02,Monclova-Frontera,0.240509245,0.6,-3.414924803,2.944573145,0.011396252,0.284328956,0.53322342,0.307017544,1.146414021,7.699757037,1.386294361
9,M05.03,Piedras Negras,0.357756568,0.481818182,-3.456451647,3.494047422,0.012463483,0.598712377,0.564519785,0.114035088,1.013470247,7.221914058,0.693147181
10,M05.04,Saltillo,0.272798765,0.806060606,-3.04330041,3.778422573,0.014489877,0.751638448,1.021908681,0.25,1.145064023,8.47258914,1.098612289
11,M06.01,Colima-Villa de Alvarez,0.368310119,0.487878788,-3.458324809,3.069113176,0.013767459,0.58635722,0.731638681,0.326754386,0.820553254,7.563664767,1.609437912
12,M06.02,Tecoman,0.070728711,0.060606061,-3.823916711,4.026752091,0.012419394,0.264490458,0.554063381,0.118421053,0.816201968,6.474550523,0.693147181
13,M07.01,Tapachula,0.624392021,0.363636364,-3.425375224,3.507718901,0.013899563,0.463966016,0.819940171,0.712719298,0.451430887,7.297244833,0
14,M07.02,Tuxtla Gutierrez,0.252157941,0.524242424,-3.47394096,3.003229494,0.013670652,0.757752192,0.571706067,1,0.610202297,8.084758011,1.609437912
15,M08.01,Chihuahua,0.877636031,0.766666667,-2.910527546,2.847604791,0.012183371,0.582439598,0.74060633,0.335526316,1.087934536,8.748539372,1.098612289
16,M08.02,Delicias,0.377572799,0.327272727,-3.560004737,3.366163107,0.009909706,0.340300213,0.513390046,0.223684211,1.132663393,7.250955567,0.693147181
17,M08.03,Hidalgo del Parral,0,0.245454545,-3.355645885,4.042365102,0.013909854,0.194780283,0.733925236,0.228070175,1.041803436,6.546431196,0.693147181
18,M08.04,Juarez,0.539790777,0.839393939,-3.623965241,2.068240032,0.015539426,0.638752416,0.586711634,0.230263158,0.880324576,8.712507425,0
19,M09.01,Valle de Mexico,0.587245926,0.924242424,-2.278662963,1.213269516,0.026891395,0.337169675,0.253496651,0.850877193,0.387120315,10.7622336,4.33073334
20,M10.01,Durango,0.277284145,0.581818182,-3.271268776,4.279794098,0.014856018,0.509334063,0.726855959,0.49122807,1.113499305,8.109853115,0
21,M11.01,Celaya,0.486816814,0.575757576,-3.498489171,2.876887529,0.012930899,0.468369724,0.905659858,0.414473684,0.891052113,7.996067847,1.386294361
22,M11.02,Guanajuato,0.745247612,0.239393939,-3.615684793,2.441210791,0.014463162,0.489881118,0.894222464,0.618421053,0.922365628,6.847719443,0
23,M11.03,Leon,1,0.866666667,-3.159848737,2.894835602,0.017960004,0.671902295,1.032980426,0.60745614,0.911757381,8.677447169,0.693147181
24,M11.04,Moroleon Uriangato,0.286711872,0.157575758,-3.754184989,2.339668628,0.011958525,0.136263403,0.643563374,0.059210526,0.859261661,6.382739505,0.693147181
25,M11.05,San Francisco del Rincon,0.059040437,0.418181818,-3.885204459,4.56763491,0.00958655,0.632805603,1.005385115,0.087719298,0.845109965,7.007861483,0.693147181
26,M12.01,Acapulco,0.174883949,0.396969697,-3.666579868,2.647255483,0.017492808,0.265250241,0.578263174,0.989035088,0.725247112,8.232036091,0.693147181
27,M12.02,Chilpancingo,0.097875004,0.148484848,-3.19987077,6.937705157,0.018330325,0.687687788,0.860880925,0.936403509,0.935349874,7.325746975,0.693147181
28,M13.01,Pachuca,0.342003056,0.527272727,-3.469506651,3.036638999,0.011896901,0.878928838,0.718500482,0.622807018,1.028380435,8.392721577,1.945910149
29,M13.02,Tula,0.313395576,0.33030303,-3.326756987,6.213166472,0.008018127,0.603511991,0.51569784,0.675438596,0.889676412,7.530198938,1.609437912
30,M13.03,Tulancingo,0.131907739,0.233333333,-4.070754704,2.752902623,0.011208674,0.6009317,0.709503773,0.61622807,0.868709751,7.621881122,1.098612289
31,M14.01,Guadalajara,0.720984467,0.878787879,-2.973850946,2.442180664,0.019454311,0.543939597,0.65000149,0.703947368,0.85574906,9.582793162,2.302585093
32,M14.02,Ocotlan,0.546343142,0.212121212,-3.887290345,3.647876351,0.011328916,0.42200389,0.849196785,0.138157895,0.820981112,6.562097168,1.098612289
33,M14.03,Puerto Vallarta,0.341412363,0.506060606,-2.773775618,3.983822962,0.016688513,1.153498108,0.740863976,0.73245614,0.780867114,7.697121509,0.693147181
34,M15.01,Tianguistenco,0.089804307,0.112121212,-4.465038921,3.956584319,0.014901996,0.680250631,0.614419149,0.219298246,0.692007179,6.679097574,1.791759469
35,M15.02,Toluca,0.512574109,0.551515152,-3.607731819,1.649697633,0.014189896,0.710733943,0.660713213,0.682017544,0.701834714,9.182117345,2.772588722
36,M16.01,La Piedad-Penjamo,0.373250008,0.184848485,-3.697876002,4.020228215,0.008666168,0.177153066,0.752031859,0.168859649,0.859928548,7.239926403,0.693147181
37,M16.02,Morelia,0.462023633,0.593939394,-3.158831442,1.428516389,0.016194126,0.599313299,0.727565059,0.655701754,0.88431593,8.348798036,1.098612289
38,M16.03,Zamora,0.190346651,0.315151515,-3.322043358,3.809189602,0.014713488,0.389058686,0.846044173,0.315789474,0.770670226,6.941951259,0.693147181
39,M17.01,Cuautla,0.003702765,0.224242424,-3.801165183,3.886238924,0.010814934,0.547251365,0.620387605,0.635964912,0.706471406,8.15135233,1.791759469
40,M17.02,Cuernavaca,0.172297581,0.527272727,-3.513294437,2.401795777,0.014052411,0.560075504,0.530944355,0.673245614,0.701431522,8.519155285,2.079441542
41,M18.01,Tepic,0.100849664,0.472727273,-3.589453393,3.155042053,0.017016053,0.605078648,1.206077873,0.664473684,0.850288923,7.586659983,0.693147181
42,M19.01,Monterrey,0.855527227,1,-2.432443377,2.393575049,0.018630751,0.680603312,0.841387776,0.61622807,1.06436295,9.832975902,2.890371758
43,M20.01,Oaxaca,0.244069036,0.427272727,-3.425353311,2.989775997,0.013723451,0.667251537,0.720798928,0.695175439,0.863833293,8.336740078,3.17805383
44,M20.02,Tehuantepec,0.215391824,0.175757576,-3.170381419,7.451265183,0.009815077,0.327365004,0.662817185,0.521929825,0.847430077,7.169369269,1.609437912
45,M21.01,Puebla-Tlaxcala,0.563523591,0.651515152,-3.480469804,2.232407472,0.015884755,0.588142655,0.460778361,0.787280702,0.830923747,9.586671987,3.663561646
46,M21.02,Tehuacan,0.162114816,0.381818182,-3.720538061,2.374677963,0.014335298,0.77573679,0.630864846,0.646929825,0.905461226,7.333793845,0.693147181
47,M21.03,Teziutlan,0.267931008,0.06969697,-4.15252885,3.370594292,0.019227346,0.598640275,0.940585734,0.817982456,0.537774635,6.241646461,0.693147181
48,M22.01,Queretaro,0.835148172,0.890909091,-2.896386919,3.259274137,0.012347861,0.931511884,1.162960904,0.48245614,0.901856079,8.821601348,1.609437912
49,M23.01,Cancun,0.360340945,0.760606061,-2.72146101,2.415944358,0.024982457,1.606267996,1.4093151,0.971491228,0.95911444,8.012341816,0.693147181
50,M23.02,Chetumal,0.255668141,0.393939394,-3.572085138,4.546579198,0.010948457,0.303053322,0.657715453,0.127192982,0.624521168,7.272697916,0
51,M24.01,Rioverde,0.241358078,0.060606061,-4.074338956,3.607926919,0.008679496,0.186401103,0.964024063,0,0.929511359,7.082568706,0.693147181
52,M24.02,San Luis Potosi,0.411203483,0.845454545,-3.086630343,2.846675033,0.015683643,0.628913791,0.850652015,0.381578947,0.956549928,8.409607212,1.098612289
53,M25.01,Culiacan,0.483105618,0.648484848,-3.217315093,2.619605685,0.015249927,0.512479491,0.694083923,0.473684211,1.011977615,8.432936659,0
54,M25.02,Mazatlan,0.283086039,0.587878788,-2.954328848,3.824352902,0.016622675,0.466994844,0.77150917,0.600877193,1.01028034,7.672871311,0
55,M26.01,Guaymas,0.329431407,0.448484848,-3.171055917,4.662143712,0.010024157,0.173541906,0.658010762,0.429824561,1.150353591,7.514737494,0.693147181
56,M26.02,Hermosillo,0.356586013,0.781818182,-2.874009861,3.110473146,0.013150588,0.734949259,0.694976651,0.298245614,0.999381604,8.452706077,0
57,M26.03,Nogales,0.127088108,0.587878788,-3.749230573,1.717065446,0.016665558,0.897368387,1.123592893,0.407894737,0.888570757,6.807965966,0
58,M27.01,Villahermosa,0.435486358,0.627272727,-3.407520219,2.004366635,0.014596871,0.644892048,0.752508297,0.855263158,0.507041586,7.823836267,0.693147181
59,M28.01,Ciudad Victoria,0.347510453,0.43030303,-3.500845047,2.8405281,0.014201586,0.51987351,0.705275544,0.35745614,1.03635161,7.478937054,0
60,M28.02,Matamoros,0.166452712,0.718181818,-3.816655191,1.879556423,0.015356269,0.580527921,0.573580386,0.456140351,1.058435934,7.9056609,0
61,M28.03,Nuevo Laredo,0.391840357,0.660606061,-3.592227375,2.518941642,0.015201339,0.661019194,0.72663503,0.182017544,1.10834066,7.600986048,0
62,M28.04,Reynosa,0.237975161,0.821212121,-2.609555366,1.688137079,0.013977573,0.798738505,0.75801167,0.563596491,1.043319649,8.299006138,0.693147181
63,M28.05,Tampico,0.241675116,0.718181818,-3.26847805,1.514831926,0.01569468,0.357549218,0.572106458,0.589912281,0.922281802,8.27650642,1.609437912
64,M29.01,Tlaxcala-Apizaco,0.09701013,0.4,-3.920084915,3.198425013,0.012893399,0.629876102,0.567199153,0.754385965,0.817375817,8.241539452,2.944438979
65,M30.01,Acayucan,0.243578812,0,-3.895847389,3.093631231,0.011929319,0.225438256,0.454614104,0.223684211,0.545491554,6.376679608,1.098612289
66,M30.02,Coatzacoalcos,0.097224006,0.584848485,-3.376046728,2.712728211,0.012499596,0.269036028,0.400412969,0.74122807,0.685636339,7.250563859,1.098612289
67,M30.03,Cordoba,0.363061681,0.415151515,-3.639400156,2.529931233,0.016091448,0.345927724,0.614757749,0.782894737,0.601844358,7.186226668,1.386294361
68,M30.04,Minatitlan,0.286866322,0.318181818,-3.888585766,3.262871611,0.010782237,0.142856547,0.475844596,0.478070175,0.39799869,7.523764593,1.791759469
69,M30.05,Orizaba,0.430133177,0.360606061,-3.524853547,6.162160444,0.017473009,0.341356289,0.610073318,0.561403509,0.636100049,7.457698935,2.564949357
70,M30.06,Poza Rica,0.50286254,0.293939394,-2.969608997,8.942654041,0.012021537,0.15659584,0.640859145,0.138157895,0.397324837,7.897081283,1.609437912
71,M30.07,Veracruz,0.354372598,0.742424242,-3.052926396,3.775190158,0.015524731,0.481808777,0.737164587,0.864035088,0.76582416,8.209160795,1.791759469
72,M30.08,Xalapa,0.890751828,0.457575758,-3.716694655,2.980930245,0.020081492,0.537332998,0.743305968,0.625,0.69848948,7.886824765,2.197224577
73,M31.01,Merida,0.614559666,0.742424242,-3.111826726,2.97348587,0.012791027,0.647184965,0.697303642,0.495614035,0.819449613,8.783712778,2.397895273
74,M32.01,Zacatecas-Guadalupe,0.543095004,0.503030303,-3.329900854,3.475199504,0.013078497,0.676578441,1.355998342,0.493421053,0.934228014,7.73916069,1.609437912